Player,Position,Games,Win rate,KDA,CSM,GPM,KP%,DMG%,DPM,GD@15,FB %
Mark,SUPPORT,76,50%,3.8,1.4,261,68.1%,8.2,139,-,0%
Missing,SUPPORT,76,52.6%,3.3,1.9,288,69.5%,11.1,212,-,0%
Nemesis,MID,76,65.8%,4.7,9,431,60.8%,25.8,494,174,21.1%
Rekkles,ADC,76,65.8%,5.1,9.9,459,62.9%,23.9,458,121,22.4%
Rybson,JUNGLE,76,51.3%,3,4.8,325,70.7%,13.9,256,-97,43.4%
Slayder,ADC,76,55.3%,4.8,10,477,62.1%,25.3,485,329,15.8%
seiya,MID,76,65.8%,4.5,8.7,403,60.4%,23.3,418,-27,15.8%
Buggax,TOP,75,66.7%,3,8.3,400,52.7%,24.2,435,140,20%
Crash,JUNGLE,75,57.3%,3.7,5.5,347,72.5%,14.0,247,254,40%
CuVee,TOP,75,48%,2.4,8.4,382,57.2%,23.7,366,-209,10.7%
Konektiv,TOP,75,62.7%,4.3,7.9,381,50.2%,18.3,342,121,10.7%
Kramer,ADC,75,36%,4.1,9.7,442,67.8%,30.7,558,-,0%
Oddie,JUNGLE,75,66.7%,4.4,5.2,343,73.3%,14.5,271,96,44%
Pk,TOP,75,45.3%,2.3,7.6,360,55.8%,22.8,371,-289,10.7%
Slow,SUPPORT,75,66.7%,5.3,1.6,264,70.6%,9.3,167,28,26.7%
Warangelus,ADC,75,66.7%,4.9,9.6,453,63.9%,28.6,525,287,21.3%
iBo,TOP,75,58.7%,3.1,8.1,398,57.8%,22.7,452,312,21.3%
Mystic,ADC,74,54.1%,3.7,9.8,461,67.3%,29.2,578,-,0%
Poss,TOP,74,52.7%,2.9,7.8,371,48.5%,19.3,358,-,0%
RonOP,SUPPORT,74,45.9%,2.6,1.3,239,59.7%,7.3,127,-163,12.2%
iBOY,ADC,74,59.5%,4.6,9.6,451,66.1%,28.9,536,-,0%
xiye,MID,74,54.1%,3.8,8.8,418,64.4%,26.2,506,-,0%
Lindarang,TOP,73,20.5%,1.6,8,355,53.7%,23.7,345,-249,12.3%
SwordArt,SUPPORT,73,46.6%,3.9,1.6,265,70.8%,8.8,160,-,0%
Ysera,SUPPORT,73,53.4%,3.4,1.4,245,66.6%,7.9,134,46,27.4%
Hana,JUNGLE,72,66.7%,3.7,4.9,319,67.5%,11.9,227,-144,37.5%
SmLz,ADC,72,47.2%,3.1,9.8,447,63.1%,31.6,597,-,0%
Stark,TOP,72,55.6%,2.4,8.4,402,51.1%,23.8,444,-1,19.4%
Bruce,ADC,71,46.5%,3.7,9.6,435,66.6%,31.0,519,13,25.4%
H1IVA,SUPPORT,71,64.8%,2.7,1.6,273,65.3%,9.2,200,122,21.1%
Y4,ADC,71,35.2%,3.3,8.8,422,63.3%,26.5,481,-,0%
AHaHaCiK,JUNGLE,70,67.1%,3.2,4.9,340,61.8%,15.7,294,243,47.1%
BOSS,TOP,70,67.1%,3.6,7.7,396,51.9%,20.0,373,488,24.3%
Lider,MID,70,62.9%,2.5,9.1,437,57.1%,25.0,519,289,22.9%
Nomanz,MID,70,67.1%,4.5,9.2,444,62.0%,30.3,577,299,24.3%
Wako,ADC,70,54.3%,4.4,9.7,441,70.1%,28.0,499,111,27.1%
Yoon,SUPPORT,70,45.7%,3.3,1.7,255,71.5%,8.1,130,52,28.6%
Malrang,JUNGLE,69,10.1%,2.5,4.6,292,74.0%,14.3,210,-324,36.2%
Sorn,JUNGLE,69,43.5%,2.8,5.1,340,68.8%,17.6,306,318,39.1%
Jay,MID,68,30.9%,2.5,8,370,62.2%,24.2,426,-,-
Kackos,TOP,68,36.8%,2.6,7.7,357,55.1%,20.4,362,-210,11.8%
Raxxo,SUPPORT,68,55.9%,3.5,1.2,254,71.1%,9.7,191,-32,14.7%
Ruin,TOP,68,69.1%,3.1,8.4,417,56.0%,26.1,505,449,20.6%
Unified,ADC,68,57.4%,4.4,9.6,438,64.7%,28.9,513,146,17.6%
ZWuJi,ADC,68,32.4%,3.7,9,414,66.9%,30.9,532,-,0%
Zanzarah,JUNGLE,68,57.4%,3.1,4.5,302,72.4%,10.3,196,-124,38.2%
Dia1,MID,67,52.2%,3.3,9.3,425,59.8%,27.5,488,225,16.4%
Xiaopeng,JUNGLE,67,49.3%,2.9,5.3,343,69.5%,15.9,281,-,0%
behave,JUNGLE,67,64.2%,4.2,4.9,336,68.6%,13.7,287,6,41.8%
beishang,JUNGLE,67,56.7%,3.7,5.2,338,67.6%,14.2,279,-,0%
Cinkrof,JUNGLE,66,59.1%,3,4.5,309,68.8%,12.4,232,-80,47%
Fly,MID,66,45.5%,2.9,8.1,353,60.6%,24.6,375,-227,15.2%
Jayke,SUPPORT,66,50%,3,1.1,251,63.8%,9.2,184,-98,25.8%
Maple,MID,66,48.5%,3.4,8.4,388,63.4%,24.4,454,-,0%
Swiffer,MID,66,50%,2.8,7.7,381,62.0%,25.6,501,-122,22.7%
Tally,TOP,66,50%,3.1,7.9,391,59.0%,21.9,436,-131,13.6%
icon,MID,66,28.8%,2.4,8.5,392,64.2%,27.8,459,-,0%
rare7,ADC,66,50%,3.6,9.2,436,63.1%,29.2,574,-109,24.2%
Bugi,JUNGLE,65,50.8%,3.7,5.1,326,71.3%,14.6,246,-124,32.3%
Envy,MID,65,53.8%,4.7,8.5,393,61.0%,23.3,405,182,18.5%
Naehyun,MID,65,53.8%,4.5,8.6,393,64.1%,21.9,377,-75,16.9%
RedBert,SUPPORT,65,55.4%,3.8,1.9,270,62.9%,9.7,167,138,21.5%
Score,JUNGLE,65,36.9%,2.8,4.7,306,70.3%,13.3,208,-52,41.5%
Shini,JUNGLE,65,55.4%,3.4,5.7,349,69.7%,17.5,313,269,44.6%
Spookz,JUNGLE,65,50.8%,2.8,4.9,330,67.4%,14.1,278,-63,38.5%
Zica,TOP,65,33.8%,1.9,8,383,54.4%,23.3,412,-240,10.8%
Bjergsen,MID,64,54.7%,5,8.7,394,66.1%,26.1,478,96,21.9%
Broken Blade,TOP,64,54.7%,2.9,8.1,384,58.0%,24.1,440,-97,25%
CBL,SUPPORT,64,50%,3,1.2,255,66.3%,9.0,166,-120,23.4%
Denyk,SUPPORT,64,67.2%,5,1.6,272,71.3%,7.7,136,-20,25%
Homi,SUPPORT,64,59.4%,4.7,1.1,255,80.4%,9.1,175,12,32.8%
Roison,MID,64,59.4%,6.3,8.8,405,74.6%,30.2,586,-111,25%
